'ID'	'key'	'notes'
'OGG058'	'g683-t119-rl182-l181-l177-l232-ra36-a152-a151-TN'	'Losenstein-Formation (Brekzie, Konglomerat mit Exotika, Sandstein, Mergel; Albium - Unteres Cenomanium)/deposition/neritic'
'OGG059'	'g832-t119-rl232-l233-ra36-a151-a146-TN'	'Schrambach-Formation s.l. (schiefriger Mergel, grau, z.T, fleckig; Berriasium - Aptium, ?Albium) /deposition/marine_setting'
'OGG061'	'g437-t119-rl193-l232-ra71-a147-a145-TN'	'Ammergau-Formation (Aptychenkalk; schichtiger, dichter Kalkmergelstein, Mergellagen, z.T. Hornstein; Tithonium - Valanginium)/deposition/neritic'
'OGG064'	'g425-t119-rl233-l232-ra69-a69-a69-TN'	'Allgäu-Formation i. Allg., meist in Fleckenmergel-Fazies (Unterjura)/deposition/marine_setting'
'OGG065'	'g425-t119-rl233-ra69-a69-a69-TN'	'Roter Kalkmergel (Weissenburggegend)/deposition/marine_setting'
'OGG066'	'g425-t119-rl196-ra69-a69-a69-TN'	'Lias-Kieselkalk, Kirchsteinkalk (dunkler geschichteter Kalk, Hornsteine)/deposition/marine_setting'
'OGG069'	'g655-t119-rl196-l232-l162-ra134-a134-a134-TN'	'Kössen-Formation (fossilreicher schichtiger bis massiger Kalk, Mergel und Mergelkalk, Korallenkalk; Rhätium)/deposition/carbonate_dominated_shoreline_setting'
'OGG072'	'g743-t119-rl243-ra68-a132-a132-TN'	'Opponitz-Formation (Rauwacke; Oberes Karnium)/deposition/shoreline_settings'
'OGG001'	'g115-t112-rl249-ra80-a80-a80-TN'	'Anthropogene Ablagerung (Anschüttung, Verfüllung, Halde, etc.)/human_activity/terrestrial_setting'
	'g123-t112-rl199-ra39-a80-a79-TN'	'Sinterkalk/chemical_precipitation/earth_surface_setting'
	'g333-t112-rl214-l213-l218-l240-ra39-a79-a79-TN'	'Solifluktions- und Flächenspülungssediment, untergeordnet Löss und Lösslehm (Ton, Silt, Sand, lehmig; lokal mit groben Komponenten), in Mulden und Tälchen auch in Wechsellagerung mit fluviatilem Sediment /mechanical_deposition/earth_surface_setting'
	'g342-t103-rl170-ra27-a27-a27-TN'	'mit Chalcedonkruste (Verwitterungsbildung, Känozoikum; Flinsbacher Höhe)/weathering/earth_surface_setting'
	'g374-t112-rl226-ra39-a80-a79-TN'	'Schuttkegel/mechanical_deposition/earth_surface_setting'
	'g421-g641-t122-rl196-ra35-a70-a69-TN'	'Adnet- und Klaus-Formation (rötlicher und bräunlichgrauer Kalk; Unter- bis Mitteljura)/deposition/basin_plain_setting'
	'g430-t112-rl222-l218-ra39-a220-a220-TN'	'Älterer Deckenschotter (Günz)/mechanical_deposition/glacier_related_setting'
	'g431-t51-rl231-l214-ra190-a167-a166-TN'	'Älterer Schlier (dunkler, siltreicher Tonmergel mit Einschaltungen von Menilith, marin; Oberes Egerium)/deposition/marine_setting'
	'g434-t277-rl177-l232-ra37-a74-a74-TN'	'Altlengbach-Formation i.Allg (siliziklastischer Flysch; z.T. Kalksandstein; Paleozän)/deposition/marine_setting'
	'g434-t277-rl177-l232-ra37-a74-a74-TN'	'Siliziklastischer Flysch, z. T. mergelreich (Paleozän ab NP3)/deposition/marine_setting'
	'g434-t277-rl177-ra73-a157-a157-TN'	'Dickbankiger Sandstein vorherrschend (Maastrichtium)/deposition/marine_setting'
	'g437-g832-t122-rl196-l232-ra145-a145-a145-TN'	'Ammergau- und Schrambach-Formation (hellgrau-rötlicher Kalkmergel und Mergelkalk; Tithonium - Unterkreide)/deposition/marine_setting'
	'g441-t75-rl192-l167-ra71-a72-a145-TN'	'Blassenstein-Formation (Aptychenkalk; hellgrau-weisser Mergelstein, Fleckenmergel, dünn-mittelbankig; Tithon - Unter-Kreide)/deposition/marine_setting'
	'g461-t63-rl232-l213-l171-l196-ra37-a76-a75-TN'	'Tektonisch eingeschuppte Buntmergelserie/mechanical_deposition/marine_setting'
	'g461-t75-rl166-ra37-a75-a74-TN'	'Grobklastika mit Kristallinkomponenten/deposition/bathyal'
	'g461-t75-rl177-l137-ra37-a75-a75-TN'	'Sandstein, Tonschiefer (dunkel, verfaltet und geschiefert; Unteres Eozän; Hummelbach)/deposition/marine_setting'
	'g461-t75-rl177-l173-l171-ra37-a75-a74-TN'	'Sandstein, Siltstein und Tonstein (gebankt, grau-grünlichgrau)/deposition/marine_setting'
	'g461-t75-rl228-ra37-a75-a74-TN'	'Riffschuttkalk (Riesenblock, Oberjura)/deposition/marine_setting'
	'g461-t75-rl231-l232-ra37-a75-a73-TN'	'Tonmergel, Mergel (rot, grün, z.T. geflammt; Oberkreide - Mittleres Eozän)/deposition/marine_setting'
	'g461-t75-rl232-l213-l171-l194-ra37-a75-a73-TN'	'Buntmergelserie i. Allg./deposition/marine_setting'
	'g510-t254-rl196-ra72-a72-a145-TN'	'Fasselgraben-Formation (Aptychenkalk; E Kaiserberg; Tithonium - Unterkreide)/deposition/passive_continental_margin_setting'
	'g532-t254-rl177-l136-l232-ra72-a151-a150-TN'	'Gaultflysch (Sandstein, hart quarzitisch, dunkler Schiefer; Aptium - Albium) /deposition/marine_setting'
